description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
Document every customer interaction in a standardized format to identify recurring pain points that become your product roadmap,,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Shi Heng Yi,https://www.youtube.com/watch?v=uHCllDv_8Fc,"Video: How to Build a Business That Works | Shi heng yi Wisdom, Channel: Shi Heng Yi, Category: business_wisdom, Content: Document every customer interaction in a standardized format to identify recurring pain points that become your product roadmap"
Create weekly 'fire drill' scenarios where you simulate being unavailable to identify which processes break without your direct involvement,,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Shi Heng Yi,https://www.youtube.com/watch?v=uHCllDv_8Fc,"Video: How to Build a Business That Works | Shi heng yi Wisdom, Channel: Shi Heng Yi, Category: business_wisdom, Content: Create weekly 'fire drill' scenarios where you simulate being unavailable to identify which processes break without your direct involvement"
Schedule quarterly 'business autopsy' sessions where you analyze what would happen if you disappeared for 3 months,,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Shi Heng Yi,https://www.youtube.com/watch?v=uHCllDv_8Fc,"Video: How to Build a Business That Works | Shi heng yi Wisdom, Channel: Shi Heng Yi, Category: business_wisdom, Content: Schedule quarterly 'business autopsy' sessions where you analyze what would happen if you disappeared for 3 months"
Target markets where incumbents have 5+ year technology debt and can't pivot quickly without disrupting existing revenue streams,,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Y Combinator,https://www.youtube.com/watch?v=3tWdWsRz9js,"Video: The 7 Startup Strategies To Beat Big Competitors, Channel: Y Combinator, Category: startup_strategy, Content: Target markets where incumbents have 5+ year technology debt and can't pivot quickly without disrupting existing revenue streams"
"Build network effects by requiring users to invite 3 colleagues before accessing premium features, creating viral growth loops",,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Y Combinator,https://www.youtube.com/watch?v=3tWdWsRz9js,"Video: The 7 Startup Strategies To Beat Big Competitors, Channel: Y Combinator, Category: startup_strategy, Content: Build network effects by requiring users to invite 3 colleagues before accessing premium features, creating viral growth loops"
"Use API-first architecture to let competitors integrate your core functionality, making them dependent on your platform",,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Y Combinator,https://www.youtube.com/watch?v=3tWdWsRz9js,"Video: The 7 Startup Strategies To Beat Big Competitors, Channel: Y Combinator, Category: startup_strategy, Content: Use API-first architecture to let competitors integrate your core functionality, making them dependent on your platform"
Create a 'not-to-do' list that's 3x longer than your to-do list to prevent strategic drift and resource dilution,,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Business School 101,https://www.youtube.com/watch?v=81o65vbtGKo,"Video: How to Develop Business Strategy for Your Business, Channel: Business School 101, Category: strategy, Content: Create a 'not-to-do' list that's 3x longer than your to-do list to prevent strategic drift and resource dilution"
Map your core competencies on a 2x2 matrix against market demand to identify where you should double down vs. divest,,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Business School 101,https://www.youtube.com/watch?v=81o65vbtGKo,"Video: How to Develop Business Strategy for Your Business, Channel: Business School 101, Category: strategy, Content: Map your core competencies on a 2x2 matrix against market demand to identify where you should double down vs. divest"
Implement quarterly strategy reviews where you must kill one existing initiative before starting any new ones,,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Business School 101,https://www.youtube.com/watch?v=81o65vbtGKo,"Video: How to Develop Business Strategy for Your Business, Channel: Business School 101, Category: strategy, Content: Implement quarterly strategy reviews where you must kill one existing initiative before starting any new ones"
"Start with problems you've personally paid money to solve, not problems you think others have based on surveys",,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Y Combinator,https://www.youtube.com/watch?v=g1WG4D0Aiek,"Video: The Complete Guide to Startups, Channel: Y Combinator, Category: startup_fundamentals, Content: Start with problems you've personally paid money to solve, not problems you think others have based on surveys"
"Build features that users would pay for even if your company disappeared tomorrow, not nice-to-have features",,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Y Combinator,https://www.youtube.com/watch?v=g1WG4D0Aiek,"Video: The Complete Guide to Startups, Channel: Y Combinator, Category: startup_fundamentals, Content: Build features that users would pay for even if your company disappeared tomorrow, not nice-to-have features"
"Track cohort retention by week 1, week 4, and week 12 to identify which user segments have genuine product-market fit",,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Y Combinator,https://www.youtube.com/watch?v=g1WG4D0Aiek,"Video: The Complete Guide to Startups, Channel: Y Combinator, Category: startup_fundamentals, Content: Track cohort retention by week 1, week 4, and week 12 to identify which user segments have genuine product-market fit"
"Raise funding when you have 6+ months of runway remaining, not when you're 2 months from running out of cash",,,,,,Anecdotal,pattern,,,,,,,,2025-08-25,youtube/Y Combinator,https://www.youtube.com/watch?v=78Zxx3o55PM,"Video: How to Raise Startup Funding: EVERYTHING You Need to Know, Channel: Y Combinator, Category: fundraising, Content: Raise funding when you have 6+ months of runway remaining, not when you're 2 months from running out of cash"
