description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
"> UPD: import `Variable` from `airflow.models` instead of `airflow.sdk` fixes the problem but doesn't seem like a best practice solution. Yeah, that still works as it's falling back to the direct DB access based approach",,,,,,Anecdotal,comment,,,,,,,,2025-06-18,github/ashb,https://github.com/apache/airflow/issues/51816#issuecomment-2984241505,repo: apache/airflow | issue: ImportError: cannot import name 'SUPERVISOR_COMMS' with dag.test() | keyword: best practice
"> FYI, it's not clear what is best practices for build constraints, it might be the case you can pin them all, alternatively you might just be able to put upper bounds or ranges on them. Yep I know. It's just our choice and we have good reasons for Airlfow to do so.",,,,,,Anecdotal,comment,,,,,,,,2025-08-12,github/potiuk,https://github.com/apache/airflow/issues/54394#issuecomment-3180159412,repo: apache/airflow | issue: Add support to `--build-constraint(s)` flag for our constraint preparation | keyword: best practice
"Hi @potiuk amd @amoghrajesh , In development (using Breeze), we can access the value if we export AIRFLOW__CORE__TEMPLATE_SEARCHPATH=""<path>"" inside the Breeze terminal. That works fine. Also, i have added support for setting default path when Breeze starts — via CLI option like breeze start-airflow --template-searchpath ""<path>"" to make it easier instead of exporting every time. For **Production**, I tried passing the variable as an environment variable in the docker run command, and it worked…",,,,,,Anecdotal,comment,,,,,,,,2025-08-06,github/Brunda10,https://github.com/apache/airflow/issues/53972#issuecomment-3159742446,repo: apache/airflow | issue: Support a global template_searchpath config option in Airflow | keyword: best practice
Hey @plovegro I was able to fix this issue. The code for the dag remains the same however the code for the plugin and airflow's config file need to be changed a little. I was able to get the webhook to trigger successfully by changing the plugin code to the following: ```python import logging import requests from airflow.plugins_manager import AirflowPlugin from airflow.listeners import hookimpl # It's best practice to get a logger instance instead of using print() log = logging.getLogger(__nam…,,,,,,Anecdotal,comment,,,,,,,,2025-07-21,github/tanujdargan,https://github.com/apache/airflow/issues/53162#issuecomment-3096005490,repo: apache/airflow | issue: Listeners not firing on task success | keyword: best practice
> Hey [@plovegro](https://github.com/plovegro) I was able to fix this issue. The code for the dag remains the same however the code for the plugin and airflow's config file need to be changed a little. > > I was able to get the webhook to trigger successfully by changing the plugin code to the following: > > import logging > import requests > from airflow.plugins_manager import AirflowPlugin > from airflow.listeners import hookimpl > > # It's best practice to get a logger instance instead of us…,,,,,,Anecdotal,comment,,,,,,,,2025-07-28,github/tanujdargan,https://github.com/apache/airflow/issues/53162#issuecomment-3126147817,repo: apache/airflow | issue: Listeners not firing on task success | keyword: best practice
"i18n: Replaced hard-coded ""no {modelName} found"" message in DataTable ## Why introduce `noItemsFound` as an improved default fallback For pages that currently lack a customized noRowsMessage, DataTable will now display a fully translated message. For example, instead of an erroneous ""No 任務實例 found"" (a mix of English and Chinese), the UI will correctly render a message like ""找不到任務實例"". ## Why is the `noRowsMessage` prop still crucial Relying solely on this generic template with modelName interpol…",,,,,,Anecdotal,issue,,,,,,,,2025-05-29,github/RoyLee1224,https://github.com/apache/airflow/pull/51209,repo: apache/airflow | keyword: best practice | state: closed
"> Adding dag_reserialize back. Why is this needed? Because the dag is not yet serialized? If so, should we add wait in the test instead?",,,,,,Anecdotal,comment,,,,,,,,2025-03-10,github/Lee-W,https://github.com/apache/airflow/pull/47433#issuecomment-2710346460,repo: apache/airflow | issue: AIP-84 | Add Auth for Dags | keyword: lesson learned
"> > Adding dag_reserialize back. > > Why is this needed? Because the dag is not yet serialized? Yes, explicitly running `airflow dags reserialize` can resolve the issue described in https://github.com/apache/airflow/pull/47433#issuecomment-2708289346 (where triggering a new `dagRun` results in a 404, indicating that `DagModel.is_active` is `False`). > If so, should we add a wait in the test instead? I believe explicitly running `reserialize` is more precise than waiting for a fixed duration, wh…",,,,,,Anecdotal,comment,,,,,,,,2025-03-10,github/jason810496,https://github.com/apache/airflow/pull/47433#issuecomment-2710365025,repo: apache/airflow | issue: AIP-84 | Add Auth for Dags | keyword: lesson learned
"> We can't merge anything that has a high chance of breaking the CI because it's hard to get all tests green at the same time (cause they are too flaky). > > We need something more stable. > > (or this will be hard to manage for other PRs that need to run these tests) Yep, what I meant was maybe we can extend the timeout time. but would like to confirm whether it was set that way for a reason",,,,,,Anecdotal,comment,,,,,,,,2025-03-10,github/Lee-W,https://github.com/apache/airflow/pull/47433#issuecomment-2710916494,repo: apache/airflow | issue: AIP-84 | Add Auth for Dags | keyword: lesson learned
"Not only thoughts. There is an issue for actually spliting the provider : https://github.com/apache/airflow/issues/15933 - but this one is complex because of common parts so maintaining such split provider would be difficult to maintain (we learned a lot about it when we added `common.sql`. However- when it comes to extras, it could be a better solution indeed, I have not thought about it, but it might actually make it much easier for users and would let us pick and choose which extras in googl…",,,,,,Anecdotal,comment,,,,,,,,2023-03-04,github/potiuk,https://github.com/apache/airflow/issues/27292#issuecomment-1454842888,repo: apache/airflow | issue: Support for Python 3.11 for Google Provider (upgrading all dependencies) | keyword: lesson learned
