description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
[00:24:35] Kevin's improved communication since quitting alcohol,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #822: The Random Show — Ketones for Cognition, Tim’s Best Lab Results in 10+ Years, How Kevin Hit 100 Days Sober, Home Defense, Vibe Coding Unleashed, and More, Platform: spotify, Content: [00:24:35] Kevin's improved communication since quitting alcohol"
[01:03:27] The time Kevin found a homeless person in his closet,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #822: The Random Show — Ketones for Cognition, Tim’s Best Lab Results in 10+ Years, How Kevin Hit 100 Days Sober, Home Defense, Vibe Coding Unleashed, and More, Platform: spotify, Content: [01:03:27] The time Kevin found a homeless person in his closet"
[00:15:53] Why I’ve always wanted to make my own game and how development began in earnest,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #821: My Two-Year Secret Project, COYOTE — The Strategies and Tactics for Building a Bestseller from Nothing with Elan Lee of Exploding Kittens, Platform: spotify, Content: [00:15:53] Why I’ve always wanted to make my own game and how development began in earnest"
[00:53:00] The beginner’s mind approach to writing effective game instructions,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #821: My Two-Year Secret Project, COYOTE — The Strategies and Tactics for Building a Bestseller from Nothing with Elan Lee of Exploding Kittens, Platform: spotify, Content: [00:53:00] The beginner’s mind approach to writing effective game instructions"
[02:29:49] How we tried to avoid these mistakes when packaging Coyote,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #821: My Two-Year Secret Project, COYOTE — The Strategies and Tactics for Building a Bestseller from Nothing with Elan Lee of Exploding Kittens, Platform: spotify, Content: [02:29:49] How we tried to avoid these mistakes when packaging Coyote"
"com/tim ($1000 off)Our Place's Titanium Always Pan® Pro using nonstick technology that’s coating-free and made without PFAS, otherwise known as “Forever Chemicals”: https://fromourplace",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #820: Elizabeth Gilbert — How to Find Your Inner Voice, Set Strong Boundaries, and Live a Life of Radical Ease (Repost), Platform: spotify, Content: com/tim ($1000 off)Our Place's Titanium Always Pan® Pro using nonstick technology that’s coating-free and made without PFAS, otherwise known as “Forever Chemicals”: https://fromourplace"
”  [01:09:32] Elizabeth’s hard-ass approach to project commitment,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Tim Ferriss Show,,"Episode: #820: Elizabeth Gilbert — How to Find Your Inner Voice, Set Strong Boundaries, and Live a Life of Radical Ease (Repost), Platform: spotify, Content: ”  [01:09:32] Elizabeth’s hard-ass approach to project commitment"
Its output may be inaccurate and is not investment advice,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Entrepreneurs On Fire: Inspiring interviews,,"Episode: Total Disruption - How to DOMINATE Your Industry....Even if it's Saturated with Ben Glinsky, Platform: spotify, Content: Its output may be inaccurate and is not investment advice"
Emotional regulation - not strategy - is the key to sustainable success,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Entrepreneurs On Fire: Inspiring interviews,,"Episode: Emotionally Uncomfortable with Heather Chauvin, Platform: spotify, Content: Emotional regulation - not strategy - is the key to sustainable success"
"com/huberman *This experience may not be representative of the experience of other clients of Wealthfront, and there is no guarantee that all clients will have similar experiences",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Huberman Lab,,"Episode: How to Rewire Your Brain & Learn Faster | Dr. Michael Kilgard, Platform: spotify, Content: com/huberman *This experience may not be representative of the experience of other clients of Wealthfront, and there is no guarantee that all clients will have similar experiences"
"No matter what you sell, there’s always a way to go that extra mile for your customers",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Noah Kagan Presents,,"Episode: The $2000 Night Room, Platform: spotify, Content: No matter what you sell, there’s always a way to go that extra mile for your customers"
I have also been sharing emails on my brutally honest advice on a variety of topics,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Noah Kagan Presents,,"Episode: The $2000 Night Room, Platform: spotify, Content: I have also been sharing emails on my brutally honest advice on a variety of topics"
I started the company with $50 and a dream of never working a real job again,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Noah Kagan Presents,,"Episode: 15 Years Of AppSumo, Platform: spotify, Content: I started the company with $50 and a dream of never working a real job again"
com  I have also been sharing emails on my brutally honest advice on a variety of topics,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Noah Kagan Presents,,"Episode: 15 Years Of AppSumo, Platform: spotify, Content: com  I have also been sharing emails on my brutally honest advice on a variety of topics"
"With 12+ years of experience in trading equities, real estate, and cars, he has developed a wealth of knowledge that he shares with his community of over 1",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 219: Tay Sweat - The Principles Of Making 8 Figures In Stocks & Shares, Platform: spotify, Content: With 12+ years of experience in trading equities, real estate, and cars, he has developed a wealth of knowledge that he shares with his community of over 1"
"Unique Journey:Her life's purpose became clear when, at the age of 5, she learned the power of words through a teacher who saw beyond her circumstances",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 217: Dr. Darnyelle Jervey Harmon - The Keys to Unlock Your 7 Figure Mindset, Platform: spotify, Content: Unique Journey:Her life's purpose became clear when, at the age of 5, she learned the power of words through a teacher who saw beyond her circumstances"
"Her approach challenges the norm, and her success exemplifies the effectiveness of combining spiritual principles with business growth strategy",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 217: Dr. Darnyelle Jervey Harmon - The Keys to Unlock Your 7 Figure Mindset, Platform: spotify, Content: Her approach challenges the norm, and her success exemplifies the effectiveness of combining spiritual principles with business growth strategy"
His approach is rooted in the philosophy that one's perception of reality is the most significant determinant of their life's quality,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 216: Bruce Da Silva - How Porn Is Rotting Your Brain & Destroying Your Chances Of Success, Platform: spotify, Content: His approach is rooted in the philosophy that one's perception of reality is the most significant determinant of their life's quality"
Bruce’s strategy revolves around the creation of a S,,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 216: Bruce Da Silva - How Porn Is Rotting Your Brain & Destroying Your Chances Of Success, Platform: spotify, Content: Bruce’s strategy revolves around the creation of a S"
"He prides himself on not having all the answers but possessing the wisdom, experience, strategies, and desire to move his clients one step closer to their goals",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 216: Bruce Da Silva - How Porn Is Rotting Your Brain & Destroying Your Chances Of Success, Platform: spotify, Content: He prides himself on not having all the answers but possessing the wisdom, experience, strategies, and desire to move his clients one step closer to their goals"
"His qualifications are further enriched by his experiences living in dozens of countries, engaging with thousands of individuals, and absorbing wisdom from hundreds of books across various subjects",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Addicted2Success,,"Episode: Episode 216: Bruce Da Silva - How Porn Is Rotting Your Brain & Destroying Your Chances Of Success, Platform: spotify, Content: His qualifications are further enriched by his experiences living in dozens of countries, engaging with thousands of individuals, and absorbing wisdom from hundreds of books across various subjects"
Want Sam's top 7 books for entrepreneurs (& his reading strategy),,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/My First Million,,"Episode: 3 Wild Stories to Get You Hyped This Week, Platform: spotify, Content: Want Sam's top 7 books for entrepreneurs (& his reading strategy)"
"If mediocrity found a way to creep into your life, James’ story might just kick you back into gear",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/Abel James Show,,"Episode: James Swanwick: How to Break Free from Alcohol, Platform: spotify, Content: If mediocrity found a way to creep into your life, James’ story might just kick you back into gear"
""" We discuss the intersection of creativity and the Tao, where inspiration comes from, and his unique approach to capturing vitality on the page",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Rich Roll Podcast,,"Episode: Addiction, Celebrity, Public Shaming & Truth: The Performance Art of James Frey, Celebrated Writer of Ill-Repute, Platform: spotify, Content: "" We discuss the intersection of creativity and the Tao, where inspiration comes from, and his unique approach to capturing vitality on the page"
"Along the way, James recounts a few things he's never shared publicly",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Rich Roll Podcast,,"Episode: Addiction, Celebrity, Public Shaming & Truth: The Performance Art of James Frey, Celebrated Writer of Ill-Repute, Platform: spotify, Content: Along the way, James recounts a few things he's never shared publicly"
"Plus: Movies are officially back, friends of the pod crushing impossible distances—because regular suffering is passé—and why community beats audience every damn time",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/The Rich Roll Podcast,,"Episode: ROLL ON: The State of Podcasting In 2025, Platform: spotify, Content: Plus: Movies are officially back, friends of the pod crushing impossible distances—because regular suffering is passé—and why community beats audience every damn time"
"He explains the crucial difference between satisficing and maximizing, advocating for the ""good enough"" approach to enhance happiness and reduce stress",,,,,,Anecdotal,pattern,,,,,,,,2025-08-20,podcast/spotify/QuickPod:Tim Ferriss Podcast Audio Summaries,,"Episode: Derek Sivers on Decision-Making, Personal Optimization, and Life Transitions  | Quickpod: Tim Ferriss Podcast Summaries, Platform: spotify, Content: He explains the crucial difference between satisficing and maximizing, advocating for the ""good enough"" approach to enhance happiness and reduce stress"
