description,rationale,use_case,impact_area,transferability_score,actionability_rating,evidence_strength,type_(form),tag_(application),unique?,role,function,company,industry,country,date,source_(interview_#/_name),link,notes
docs: Enhance triggering_asset_event retrieval documentation in DAGs (#52666) **Closes:** #52666 This pull request enhances the Airflow documentation around fetching and using the `triggering_asset_events` context variable in DAGs. It provides clearer guidance and real‐world examples to improve authoring and scheduling workflows. ### What’s Changed * **Jinja Templating Examples** * Added a “Single Triggering Asset” snippet demonstrating how to access the first `AssetEvent` via `{{ triggering_as…,,,,,,Anecdotal,issue,,,,,,,,2025-07-02,github/Programmer-RD-AI,https://github.com/apache/airflow/pull/52674,repo: apache/airflow | keyword: best practice | state: open
"Congratulations on your first Pull Request and welcome to the Apache Airflow community! If you have any issues or are unsure about any anything please check our Contributors' Guide (https://github.com/apache/airflow/blob/main/contributing-docs/README.rst) Here are some useful points: - Pay attention to the quality of your code (ruff, mypy and type annotations). Our [pre-commits]( https://github.com/apache/airflow/blob/main/contributing-docs/08_static_code_checks.rst#prerequisites-for-pre-commit…",,,,,,Anecdotal,comment,,,,,,,,2025-07-02,github/boring-cyborg[bot],https://github.com/apache/airflow/pull/52674#issuecomment-3026044587,repo: apache/airflow | issue: docs: Enhance triggering_asset_event retrieval documentation in DAGs (#52666) | keyword: best practice
Looks good! Static checks are failing. Please run pre-commits to fix them. [Documentation](https://github.com/apache/airflow/blob/main/contributing-docs/08_static_code_checks.rst),,,,,,Anecdotal,comment,,,,,,,,2025-07-02,github/vincbeck,https://github.com/apache/airflow/pull/52674#issuecomment-3028903342,repo: apache/airflow | issue: docs: Enhance triggering_asset_event retrieval documentation in DAGs (#52666) | keyword: best practice
Ensure AWS ORM initialization and improve session configuration handling ## Summary This PR introduces two related fixes to stabilize ORM initialization and session handling in AWS-related utilities. ## Changes 1. **Add `_ensure_db_session` in `eks_get_token`** * Introduced `_ensure_db_session()` to explicitly initialize the ORM when `engine` or `Session` are `None`. * Ensures that running `eks_get_token` as a standalone CLI properly initializes Airflow settings before creating the `EksHook`. *…,,,,,,Anecdotal,issue,,,,,,,,2025-08-17,github/viiccwen,https://github.com/apache/airflow/pull/54582,repo: apache/airflow | keyword: best practice | state: open
"The `eks_get_token` tool is used to generate an EKS access token, which is required for interacting with the Kubernetes API. This token is essential for tasks like using the `EksPodOperator` to interact with an EKS cluster. The tool is part of the process that enables Airflow to authenticate and authorize to interact with Kubernetes Pods in an EKS cluster. In this case, `eks_get_token` is a tool that depends on Airflow's ORM to correctly access AWS credentials stored in the metadata database. W…",,,,,,Anecdotal,comment,,,,,,,,2025-08-18,github/viiccwen,https://github.com/apache/airflow/pull/54582#issuecomment-3195763850,repo: apache/airflow | issue: Ensure AWS ORM initialization and improve session configuration handling | keyword: best practice
"Hi @potiuk, I just checked the usage of `eks_get_token`, and it appears to be a special case. The `EksHook.execute` method writes the kubeconfig file using `generate_config_file`: https://github.com/apache/airflow/blob/9b46d76ee4fffdbefa7fa14aba5b7d8a8ec15f3b/providers/amazon/src/airflow/providers/amazon/aws/operators/eks.py#L1067-L1075 The `generate_config_file` function leverages the `eks_get_token` module to generate the kubeconfig via `EksHook.fetch_access_token_for_cluster`: https://github…",,,,,,Anecdotal,comment,,,,,,,,2025-08-18,github/jason810496,https://github.com/apache/airflow/pull/54582#issuecomment-3197427713,repo: apache/airflow | issue: Ensure AWS ORM initialization and improve session configuration handling | keyword: best practice
"> In this case, eks_get_token is a tool that depends on Airflow's ORM to correctly access AWS credentials stored in the metadata database. While Airflow 3 tries to reduce ORM dependency, some actions still require it for specific use cases like reading connection settings. task.sdk already supports retrieving credentials stored in airflow configuration and this is THE way to retrieve it. I assume this command is run internally in the worker, not maually by the user at some point in time, and in…",,,,,,Anecdotal,comment,,,,,,,,2025-08-18,github/potiuk,https://github.com/apache/airflow/pull/54582#issuecomment-3197567000,repo: apache/airflow | issue: Ensure AWS ORM initialization and improve session configuration handling | keyword: best practice
"Simply: unconditional ORM configuration in provider's code run in the worker is just plain wrong. It would only be acceptable if it is run by a human running this command manually after logging in to one of the containers that have database access - scheduler, triggerer, dag file processor. When your code is run in the worker on Airflow 3, you have **no** access to database credentials and ORM initialization will fail.",,,,,,Anecdotal,comment,,,,,,,,2025-08-18,github/potiuk,https://github.com/apache/airflow/pull/54582#issuecomment-3197574477,repo: apache/airflow | issue: Ensure AWS ORM initialization and improve session configuration handling | keyword: best practice
"I understand your point, and I agree that in Airflow 3 we should not have access to the database. If I am not mistaken about the purpose of the `eks_get_token` module, it is designed to be called directly with the Python executable, rather than being initialized through TaskSDK. Since it is executed by Python directly, and not within executor, triggerer, or similar processes, it operates outside the typical Airflow runtime. https://github.com/apache/airflow/blob/9b46d76ee4fffdbefa7fa14aba5b7d8a…",,,,,,Anecdotal,comment,,,,,,,,2025-08-18,github/jason810496,https://github.com/apache/airflow/pull/54582#issuecomment-3197757508,repo: apache/airflow | issue: Ensure AWS ORM initialization and improve session configuration handling | keyword: best practice
"> If I am not mistaken about the purpose of the `eks_get_token` module, it is designed to be called directly with the Python executable, rather than being initialized through TaskSDK. Since it is executed by Python directly, and not within executor, triggerer, or similar processes, it operates outside the typical Airflow runtime. Well. from what I see this command is executed on the pod within EKS cluster - and it would mean that EKS cluster will have to have DB credentials in order to initiali…",,,,,,Anecdotal,comment,,,,,,,,2025-08-18,github/potiuk,https://github.com/apache/airflow/pull/54582#issuecomment-3198125901,repo: apache/airflow | issue: Ensure AWS ORM initialization and improve session configuration handling | keyword: best practice
